code,stim
1,chère
2,collecte
3,malade
4,léger
5,joyeux
6,inégalé
7,reflet
8,rincer
9,pigeon
10,cheval
11,lumière
12,ensoleillement
13,lumineux
14,luminosité
15,éclatant
16,éclairé
17,éclaircie
18,éclairer
19,étincellement
20,éclaircissement
21,brillant
22,brillance
23,briller
24,illuminé
25,illuminer
26,illumination
27,illuminant
28,scintillant
29,scintillement
30,scintiller
31,blanc
32,blanchi
33,blanchir
34,blanchiment
35,blanchissement
36,jour
37,luisant
38,luire
39,ensoleillé
40,ensoleiller
41,ébloui
42,éblouissant
43,éblouir
44,étincelant
45,étinceler
46,ténèbres
47,enténébrer
48,ténébreux
49,sombre
50,assombrir
51,assombrissement
52,noir
53,noirceur
54,noirci
55,noircir
56,nuit
57,obscur
58,obscurcissement
59,obscurité
60,obscurcir
61,ombre
62,ombré
63,ombragé
64,ombrager
65,ombrage
66,ombrant
67,foncé
68,pénombre
69,opacité
70,opaque
71,opacifier
72,terne
73,terni
74,ternir
75,brumeux
76,trouble
77,insalubre
78,nuageux
79,ennuager
80,abandonner
81,térébrant
82,abstenir
83,fracasser
84,justifier
85,permettre
86,renforcer
87,décider
88,cacher
89,assistant
90,auberge
91,conséquence
92,dessin
93,nourriture
94,mère
95,personnel
96,peuple
97,photographe
98,satisfaction
99,témoin
100,sésame
101,absent
102,artistique
103,blond
104,charmant
105,contraire
106,familier
107,généreux
108,honnête
109,mondial
110,simulé
111,opposé
112,paisible
113,scandaleux
114,sentimental
115,antilope
116,baleine
117,castor
118,chameau
119,chat
120,chimpanzé
121,gorille
122,girafe
123,hippopotame
124,loup
125,lapin
126,marmotte
127,ours
128,otarie
129,rat
130,renard
131,singe
132,souris
133,tigre
134,vache
135,Vous regardez un ciel ensoleillé
136,Vous regardez une pièce complètement sombre
137,Vous regardez un ciel nuageux
138,Vous regardez un ciel nocturne
139,Le visage de votre mère en plein soleil
140,Le visage de votre mère dans la pénombre
141,Vous regardez une pièce complètement éclairée
142,Votre main en plein soleil
143,Votre main dans l’obscurité
144,Vous fixez un écran de cinéma totalement blanc
145,Vous fixez un écran de cinéma totalement noir
